Company / Source,Verified,Feed URL,Summary,Category
MIT Technology Review - AI & Emerging Tech,Y,https://www.technologyreview.com/feed/,"Editorial coverage of AI, automation, and emerging tech with a focus on societal impact.",Both
Google / Google AI (Keyword Blog),Y,https://blog.google/rss/,"Product, research, and infra updates from Google, including AI launches and features.",Both
NVIDIA Blog,Y,https://blogs.nvidia.com/feed/,"AI, GPUs, and accelerated computing stories for business and developers.",Both
NVIDIA Developer Blog,Y,https://developer.nvidia.com/blog/feed,"Technical posts on AI infra, agents, RAG, and GPU-powered ML.",Both
Google DeepMind Blog,Y,https://deepmind.google/blog/rss.xml,"Research-focused posts on RL, agents, alignment, and frontier AI work.",Both
Microsoft Research,Y,https://www.microsoft.com/en-us/research/feed/,Research breakthroughs and publications from Microsoft Research.,Both
The Guardian - Artificial Intelligence,Y,https://www.theguardian.com/technology/artificialintelligenceai/rss,Global news and commentary about AI's impact on society.,Both
Wired - Artificial Intelligence,N,https://www.wired.com/feed/tag/ai/latest/rss,"Mainstream coverage of AI tech, policy, and culture.",Both
arXiv - cs.RO,Y,https://arxiv.org/rss/cs.RO,"Robotics research papers on manipulation, navigation, HRI, and autonomous systems. Limit to 10 most recent.",Robotics
The Robot Report,Y,https://www.therobotreport.com/feed/,"Industry news, product launches, and analysis covering the robotics and autonomous systems space.",Robotics
Robohub,Y,https://robohub.org/feed/,"Research-focused robotics news, interviews, and academic coverage from the robotics community.",Robotics
IEEE Spectrum - Robotics,Y,https://spectrum.ieee.org/feeds/topic/robotics.rss,"Robotics coverage from IEEE Spectrum: humanoids, industrial robots, research, and automation trends.",Robotics
Humanoids Daily,Y,https://www.humanoidsdaily.com/feed.xml,"Focused coverage of humanoid robot companies, research, and commercial deployments.",Robotics
MIT News - Robotics,Y,https://news.mit.edu/topic/mitrobotics-rss.xml,Research news and breakthroughs in robotics from MIT labs and faculty.,Robotics
Planet ROS,Y,https://planet.ros.org/rss20.xml,Aggregated feed of ROS developer and community blogs covering ROS 1 and ROS 2 development.,Robotics
Robotics & Automation News,Y,https://roboticsandautomationnews.com/feed/,"Industry news on robotics and automation across manufacturing, logistics, and commercial sectors.",Robotics
IEEE Robotics & Automation Magazine,N,https://ramagazine.ieee.org/feed/,Peer-reviewed articles and columns from the flagship magazine of the IEEE Robotics and Automation Society.,Robotics
ScienceDaily - Robotics,N,https://sciencedaily.com/rss/computers_math/robotics.xml,Aggregated academic and research robotics news from universities and journals worldwide.,Robotics
Tech Xplore - Robotics,N,https://techxplore.com/rss-feed/robotics-news/,Daily robotics science and technology news from research institutions and industry.,Robotics
New Atlas - Robotics,N,https://newatlas.com/robotics/index.rss,"Consumer and commercial robotics coverage including humanoids, drones, and novel robots.",Robotics
RoboticsTomorrow News,N,https://www.roboticstomorrow.com/rss/news,"Press releases and news covering industrial robotics, automation, and unmanned vehicles.",Robotics
Clearpath Robotics Blog,N,https://clearpathrobotics.com/feed/,"Technical blog from Clearpath covering research mobile robots, ROS integration, and field robotics.",Robotics
ROS-Industrial Blog,N,https://rosindustrial.org/news/rss.xml,News and technical posts from the ROS-Industrial Consortium on ROS for manufacturing and automation.,Robotics
PickNik Robotics Blog,N,https://picknik.ai/feed.xml,"Engineering blog covering MoveIt, manipulation planning, and advanced ROS 2 development.",Robotics
AWS Robotics Blog,N,https://aws.amazon.com/blogs/robotics/feed/,"Cloud robotics posts from Amazon covering RoboMaker, fleet management, and robot deployments.",Robotics
Robotiq Blog,N,https://blog.robotiq.com/rss.xml,"Technical blog on collaborative robots, end-of-arm tooling, and Physical AI for manufacturing.",Robotics
RoboDK Blog,N,https://robodk.com/blog/feed/,Industrial robot simulation and programming blog covering offline programming and automation case studies.,Robotics
sUAS News,N,https://www.suasnews.com/feed/,"Leading news source for small unmanned aircraft systems, commercial drones, and UAV regulation.",Robotics
DRONELIFE,N,https://dronelife.com/feed/,"Commercial drone industry news covering enterprise UAV applications, regulations, and companies.",Robotics
UAS VISION,N,https://www.uasvision.com/feed/,"Independent UAS/drone news service covering military, commercial, and civil unmanned aircraft worldwide.",Robotics
Rodney Brooks Blog,N,https://rodneybrooks.com/feed/,Personal blog of MIT robotics pioneer Rodney Brooks: candid analysis of AI and robotics hype vs. reality.,Both
